Brand & Model,Kilometers Driven,Fuel Type,Transmission,Price,Location
2022 Mahindra XUV300 W6 1.5 DIESEL,"16,454 km",Diesel,Manual,₹10.45 Lakh,"Mulund West, Mumbai"
2019 Mahindra XUV300 W8 (O) 1.2 PETROL,"69,558 km",Petrol,Manual,₹7.71 Lakh,"Mulund West, Mumbai"
2022 Mahindra XUV300 W6 1.2 PETROL AMT,"13,010 km",Petrol,Automatic,₹9.62 Lakh,"Goregaon, Mumbai"
2019 Mahindra XUV300 W8 1.5 DIESEL,"80,839 km",Diesel,Manual,₹8.28 Lakh,Seawood
2017 Mahindra XUV500 W10 AT,"57,449 km",Diesel,Automatic,₹11.38 Lakh,"Mulund West, Mumbai"
2021 Mahindra XUV300 W6 1.5 DIESEL AMT,"38,524 km",Diesel,Automatic,₹9.28 Lakh,"Goregaon, Mumbai"
2017 Mahindra XUV500 W10 AT,"84,784 km",Diesel,Automatic,₹10.22 Lakh,"Mulund West, Mumbai"
2019 Mahindra XUV300 W8 1.5 DIESEL,"51,938 km",Diesel,Manual,₹8.84 Lakh,"Mulund West, Mumbai"
2019 Mahindra XUV300 W6 1.2 PETROL,"39,094 km",Petrol,Manual,₹7.89 Lakh,Seawood
2022 Mahindra XUV300 W8 (O) 1.2 PETROL AMT,"20,405 km",Petrol,Automatic,₹11.27 Lakh,"Goregaon, Mumbai"
2021 Mahindra XUV300 W8 (O) 1.2 PETROL AMT,"41,278 km",Petrol,Automatic,₹10.89 Lakh,"Mulund West, Mumbai"
2021 Mahindra XUV300 W6 1.2 PETROL AMT,"18,255 km",Petrol,Automatic,₹8.77 Lakh,"Mulund West, Mumbai"
2022 Mahindra XUV300 W6 1.5 DIESEL AMT,"11,461 km",Diesel,Automatic,₹11.16 Lakh,"Mulund West, Mumbai"
